timestamp,ride_id,day_of_week,hour_of_day,is_weekend,weather,queue_length,wait_time_min
2025-01-01 10:00:00,R_001,2,10,0,Sunny,711,34
2025-01-01 10:00:00,R_002,2,10,0,Sunny,77,8
2025-01-01 10:00:00,R_003,2,10,0,Sunny,197,24
2025-01-01 10:00:00,R_004,2,10,0,Sunny,254,21
2025-01-01 11:00:00,R_001,2,11,0,Sunny,838,43
2025-01-01 11:00:00,R_002,2,11,0,Sunny,74,8
2025-01-01 11:00:00,R_003,2,11,0,Sunny,181,21
2025-01-01 11:00:00,R_004,2,11,0,Sunny,423,34
2025-01-01 12:00:00,R_001,2,12,0,Sunny,585,30
2025-01-01 12:00:00,R_002,2,12,0,Sunny,180,18
2025-01-01 12:00:00,R_003,2,12,0,Sunny,212,27
2025-01-01 12:00:00,R_004,2,12,0,Sunny,436,36
2025-01-01 13:00:00,R_001,2,13,0,Sunny,855,47
2025-01-01 13:00:00,R_002,2,13,0,Sunny,179,19
2025-01-01 13:00:00,R_003,2,13,0,Sunny,151,19
2025-01-01 13:00:00,R_004,2,13,0,Sunny,503,39
2025-01-01 14:00:00,R_001,2,14,0,Sunny,1071,51
2025-01-01 14:00:00,R_002,2,14,0,Sunny,189,20
2025-01-01 14:00:00,R_003,2,14,0,Sunny,277,32
2025-01-01 14:00:00,R_004,2,14,0,Sunny,461,38
2025-01-01 15:00:00,R_001,2,15,0,Sunny,933,47
2025-01-01 15:00:00,R_002,2,15,0,Sunny,117,12
2025-01-01 15:00:00,R_003,2,15,0,Sunny,218,25
2025-01-01 15:00:00,R_004,2,15,0,Sunny,411,33
2025-01-01 16:00:00,R_001,2,16,0,Sunny,647,32
2025-01-01 16:00:00,R_002,2,16,0,Sunny,120,12
2025-01-01 16:00:00,R_003,2,16,0,Sunny,146,18
2025-01-01 16:00:00,R_004,2,16,0,Sunny,318,25
2025-01-01 17:00:00,R_001,2,17,0,Sunny,603,28
2025-01-01 17:00:00,R_002,2,17,0,Sunny,160,17
2025-01-01 17:00:00,R_003,2,17,0,Sunny,151,21
2025-01-01 17:00:00,R_004,2,17,0,Sunny,316,27
2025-01-01 18:00:00,R_001,2,18,0,Sunny,516,25
2025-01-01 18:00:00,R_002,2,18,0,Sunny,168,16
2025-01-01 18:00:00,R_003,2,18,0,Sunny,106,14
2025-01-01 18:00:00,R_004,2,18,0,Sunny,313,25
2025-01-01 19:00:00,R_001,2,19,0,Sunny,598,31
2025-01-01 19:00:00,R_002,2,19,0,Sunny,54,6
2025-01-01 19:00:00,R_003,2,19,0,Sunny,153,19
2025-01-01 19:00:00,R_004,2,19,0,Sunny,389,30
2025-01-02 10:00:00,R_001,3,10,0,Sunny,656,30
2025-01-02 10:00:00,R_002,3,10,0,Sunny,67,7
2025-01-02 10:00:00,R_003,3,10,0,Sunny,219,27
2025-01-02 10:00:00,R_004,3,10,0,Sunny,356,32
2025-01-02 11:00:00,R_001,3,11,0,Sunny,709,33
2025-01-02 11:00:00,R_002,3,11,0,Sunny,202,19
2025-01-02 11:00:00,R_003,3,11,0,Sunny,189,26
2025-01-02 11:00:00,R_004,3,11,0,Sunny,350,31
2025-01-02 12:00:00,R_001,3,12,0,Sunny,686,32
2025-01-02 12:00:00,R_002,3,12,0,Sunny,145,14
2025-01-02 12:00:00,R_003,3,12,0,Sunny,218,26
2025-01-02 12:00:00,R_004,3,12,0,Sunny,313,27
2025-01-02 13:00:00,R_001,3,13,0,Sunny,850,44
2025-01-02 13:00:00,R_002,3,13,0,Sunny,233,25
2025-01-02 13:00:00,R_003,3,13,0,Sunny,207,25
2025-01-02 13:00:00,R_004,3,13,0,Sunny,435,35
2025-01-02 14:00:00,R_001,3,14,0,Sunny,668,37
2025-01-02 14:00:00,R_002,3,14,0,Sunny,154,15
2025-01-02 14:00:00,R_003,3,14,0,Sunny,144,19
2025-01-02 14:00:00,R_004,3,14,0,Sunny,389,36
2025-01-02 15:00:00,R_001,3,15,0,Sunny,949,46
2025-01-02 15:00:00,R_002,3,15,0,Sunny,237,22
2025-01-02 15:00:00,R_003,3,15,0,Sunny,155,18
2025-01-02 15:00:00,R_004,3,15,0,Sunny,365,32
